C,class_weight,val_acc,val_f1_macro,val_f1_weighted
1.0,,0.9131974187653475,0.6495783625639665,0.9016468679128091
10.0,,0.9131974187653475,0.6492287178852358,0.9016762010714127
3.0,,0.9132545257266861,0.6481338841925368,0.9014516515869669
0.1,,0.9127976700359773,0.6361450573475518,0.9008421833213932
0.01,,0.9100565358917252,0.5847435364214804,0.8955839011108255
3.0,balanced,0.6736337159499743,0.4828930840944099,0.7364653892887034
1.0,balanced,0.6730055393752499,0.4824400937243734,0.7360972102590035
10.0,balanced,0.6722631488778482,0.4822731073074292,0.7353754428329289
0.1,balanced,0.6711210096510765,0.4799816711565625,0.7344298465145569
0.01,balanced,0.6684369824681629,0.4778689087370215,0.7327683277506613
